18657, -5.10886, -13.0054, 6.17762;
18673, -1.90199, -17.6771, 17.3881;
18688, -7.99248, -21.3444, 13.7602;
18704, -28.825, -14.2391, 12.9332;
18720, 1.32457, -4.74052, 3.49777;
18735, 2.82745, 12.1921, 1.27469;
18751, 1.83806, 9.90538, -25.7338;
18766, 17.2103, 0.77507, -4.6312;
18766, 17.1508, -3.68558, -17.2002;
18782, 12.4702, 23.985, -18.625;
18798, -17.3966, 1.38405, 9.78867;
18813, 28.2246, 22.4585, 32.887;
18829, -23.9132, -3.64371, 2.38675;
18844, -0.333414, -1.46143, 11.141;
18860, -10.7602, -1.93409, -0.700104;
18876, 19.4492, 2.27503, 3.99893;
18891, -2.1902, 10.9928, -9.21042;
18891, -4.21866, 4.31023, -6.49048;
18907, 4.16965, -7.39067, 6.55539;
18922, 6.56461, 4.7551, 6.7654;
18938, -7.85135, -9.5179, -8.8541;
18954, -11.035, -20.6927, -5.18945;
18969, -4.74764, -5.09007, 5.0079;
18985, -2.72832, 6.49398, 13.155;
19000, -3.07588, -24.1592, -6.41551;
19000, 3.85964, -13.9943, 20.4386;
19016, -0.47295, 4.95134, -10.7425;
19032, 3.70006, 1.44106, 26.3459;
19047, -6.38551, -12.4513, -14.9749;
19063, 3.94886, -1.57639, 3.46473;
19078, 5.07702, 5.82748, 6.51921;
19094, -15.7903, 1.62399, 0.243164;
19110, -17.1475, 18.2942, 9.77507;
19110, 6.20097, -14.6539, -2.90034;
19125, -3.76068, 7.41277, -4.24518;
19141, 7.42223, 4.50824, -10.8915;
19156, 0.277664, 9.31613, 6.31378;
19172, 2.93506, 2.5475, 1.55319;
19188, 10.4048, -3.53514, 2.84995;
19203, -0.0154572, 8.84566, 14.0475;
19219, 34.6726, -16.1296, -8.09293;
19219, 27.1807, -13.8121, 15.8603;
19234, -26.6136, 55.4759, 27.5921;
19250, -47.126, 4.35792, 15.2324;
19266, -42.3243, 8.60962, 7.7257;
19281, -21.5507, 4.50064, -5.21455;
19297, 3.09332, 10.4233, -0.0209351;
24960, 7.44949, -17.4793, 7.1496;
24975, 2.49467, 29.6752, 14.7807;
24991, -2.75064, -2.44876, -14.9138;
25006, 24.9717, 3.05833, -16.7902;
25022, -3.92107, -6.606, 8.78516;
25022, 5.94403, 14.7108, 0.480209;
25038, 7.72855, -14.5211, 3.04227;
25053, -1.47493, -6.54111, 2.15062;
25069, 6.74817, -0.0357666, -2.28246;
25084, -17.1475, 3.53552, -14.7484;
25100, 3.39391, 5.95454, -38.2624;
25116, 14.9505, 3.08173, 11.5616;
25116, 4.75515, 18.2671, -0.80072;
25131, -8.78075, -5.785, 7.91922;
25147, -15.2449, 2.87543, 0.635895;
25162, -2.31419, 11.7728, -0.161184;
25178, 14.2105, 26.7188, 28.6907;
25194, -5.75938, 20.2395, -3.03824;
25194, -26.9566, 3.00583, -14.4462;
25209, 1.75055, 19.1682, -9.20361;
25225, -2.01262, 19.9994, -14.0453;
25240, 3.02817, 8.89141, -6.95774;
25256, -8.34591, -12.6258, 7.50046;
25272, 4.55235, 29.894, 12.0737;
25272, -6.10552, -28.6083, 47.2242;
25287, -14.7681, 17.415, 4.95373;
25303, 8.48275, -16.6855, -14.1451;
25318, -1.79694, -16.4951, -10.998;
25334, -8.05101, 6.52483, 23.9126;
25350, -27.7121, 13.8262, -11.9425;
25350, 5.10126, -13.4752, 33.0361;
25365, -34.3299, -6.32382, -5.74251;
25381, -21.1674, -11.1608, -17.9276;
25396, 6.21044, 10.9171, -4.92297;
25412, -0.403297, 13.1641, -6.94409;
25428, 2.74814, -10.1366, 10.9802;
25443, -2.76453, 0.662937, 12.1527;
25443, 8.52232, 1.25746, -0.90213;
25459, 15.8967, -5.80537, 18.9801;
25474, -4.7451, 1.93013, -16.3514;
25490, 13.1331, -13.0795, -30.719;
25506, -14.2175, 33.5193, -23.5177;
25521, 14.3997, 7.03784, 0.505325;
25521, 7.67118, -8.85687, 1.02782;
25537, 6.12218, -1.659, -8.44696;
25552, -19.5889, 47.1986, -57.145;
25568, 15.2714, 13.094, 1.96779;
25584, 6.60734, -4.26125, 17.5573;
25599, 9.6856, 0.735352, -4.5029;
25615, -22.737, -5.33174, -10.1654;
25630, 32.837, 19.2695, -56.3118;
25646, 8.4767, 0.225433, -1.6554;
25646, -5.41828, -7.25891, 6.09991;
25662, 3.18623, 3.9529, 2.75214;
25677, 0.764753, 14.7416, 31.1468;
25693, -43.5614, -6.38394, 12.694;
27690, 4.25016, 28.8332, 2.08411;
27690, -28.7118, 2.96051, 23.5536;
27705, -25.1421, 28.3254, -8.39221;
27721, -6.56477, 22.3393, -6.7419;
27736, -19.279, -8.72736, 6.92355;
27752, 3.88987, 6.78268, 14.6423;
27768, -4.40604, -9.51958, 1.13007;
27783, 7.3078, 19.2919, -4.1534;
27799, 3.33221, 11.5069, 7.76273;
27799, -37.8463, -16.0714, 5.59735;
29562, -20.9594, -13.753, -7.06697;
29577, -4.30858, -20.0246, 7.6563;
29577, 11.2074, -9.35131, 21.8741;
29593, 10.1478, -8.37918, -24.3906;
29608, 14.3368, -2.70622, 20.2318;
29624, 18.147, -3.01221, -2.16245;
29640, 12.3156, -0.146698, 1.24411;
29655, -4.72419, -1.45486, -8.6339;
29655, 8.38242, 6.8686, 22.3634;
29671, -10.7881, -6.08274, 11.4322;
29686, 1.92944, -4.74376, 5.98862;
29702, -4.7324, -6.38278, 25.7691;
29718, 2.09069, 6.37471, -19.2301;
33540, 13.2086, 43.0654, 20.3088;
33555, 4.94238, -5.52391, -36.5448;
33571, -1.88998, 3.91375, 5.52461;
33586, 1.40666, 0.687103, -8.42053;
33602, -25.2416, 14.576, -20.1962;
33618, -8.42285, -28.8041, 16.4688;
33633, -21.3121, 1.3988, 9.15262;
33649, -30.1315, -32.418, 17.1196;
33649, 18.5683, -26.4057, 10.3848;
33664, -13.7906, 3.34839, 12.6766;
33680, 13.9036, -9.52891, 7.47995;
33696, -6.62331, -9.47613, -14.9865;
33711, -15.9902, -14.2184, 18.1426;
33727, -3.76076, 12.1142, -10.5717;
33742, 0.329111, -30.1172, -0.670609;
33742, -18.173, 0.0499268, -18.5161;
33758, -3.91598, -8.09345, 19.6755;
33774, 2.4506, 1.35216, 4.88405;
33789, -21.9138, 7.37495, 2.21472;
33805, 8.90889, 13.1752, 6.81226;
33820, 17.8788, 32.8627, 58.3041;
33836, -2.625, -21.4582, -5.94493;
33852, 4.12598, 11.8362, 2.30489;
33852, -0.882873, 1.18396, -2.76872;
33867, -8.05131, -20.9117, -24.8816;
33883, 19.2328, 6.91631, -0.00201416;
35349, 11.5816, 22.6955, 4.70096;
35365, -7.13496, 24.0428, -15.6381;
35365, -3.76039, -0.522614, 15.8046;
35380, 10.8773, -12.9167, 24.0703;
35396, -34.6243, -18.2116, 24.2878;
35412, 15.397, -1.46127, -8.97435;
35427, -26.1524, -3.63216, 12.2632;
35443, 24.2605, -8.42285, 19.9294;
35458, 17.4808, 22.0426, 9.81937;
35474, 24.6117, 20.634, 3.19427;
35474, 3.38324, 3.77726, -19.8876;
35490, 0.0486145, -0.566666, 11.9771;
35505, -7.24678, 6.71907, -11.8706;
36800, -4.94134, -5.12833, -21.023;
36800, -22.2053, -17.2428, 3.53979;
36816, -25.9804, -4.52872, -8.21469;
36831, -1.55659, -7.08524, 9.20966;
36847, -1.71064, -4.82657, 2.99539;
36862, -25.5746, 53.7894, 8.55597;
36878, 1.63865, -11.2463, 6.02359;
36878, -5.28196, -7.46341, 14.972;
36894, 7.21577, 18.4383, -19.5877;
36909, 17.043, -6.09952, -11.3992;
36925, 22.1531, -5.93307, -14.6831;
36940, 15.9643, -16.67, -10.1755;
36956, -20.8331, -4.37915, 3.29977;
36956, -4.48554, 55.2927, -30.153;
36972, 18.6813, -1.45999, -3.26129;
38376, -2.37025, 10.87, 1.21106;
38391, 26.9406, 0.341492, -15.1004;
38407, 4.52049, -14.6463, 17.1526;
38422, -13.8445, 24.5574, -18.4518;
38438, 1.47802, 15.5904, -1.28561;
38454, 6.4724, 14.6541, 13.7391;
38469, 0.452988, -2.13905, -14.1773;
38469, -9.02327, 15.8376, 17.9102;
38485, 11.5636, 12.9615, 4.78398;
38500, -13.7719, 22.7219, 16.6739;
38516, -11.8521, 3.90323, 0.274414;
38532, 8.06309, 6.7342, -20.1004;
38547, -9.89938, -10.5683, 7.46707;
40076, -4.28174, -5.35864, -9.92343;
40076, 24.1912, 0.73378, 1.93039;
40092, -0.293747, -10.7829, 10.5881;
40107, -17.462, -10.3379, -15.9714;
40123, -12.9249, -7.91422, -3.49939;
40138, 22.5763, 21.0855, 1.69852;
40154, -15.4133, 7.06178, -33.7285;
40170, 37.0567, 16.2913, 13.2042;
40170, -12.7531, 29.8789, -0.55542;
40185, -13.7177, -9.92087, 1.7618;
40201, 0.296837, 7.45226, 2.752;
40216, -4.00224, -9.51573, -5.67922;
40232, -14.3781, -15.2753, 1.48811;
40248, 5.35359, -1.86453, 17.1445;
40248, 13.1378, -19.6485, 0.895706;
40263, 16.2547, 18.5092, 9.92136;
40279, -14.389, 17.2432, -4.15817;
42385, -19.9945, 9.54343, -3.64185;
42400, 13.314, 45.4823, 19.5561;
42400, 42.4591, 15.6394, 9.72949;
42416, 2.74751, -17.8981, 2.24487;
42432, 2.42781, 10.1226, -1.83278;
42447, -14.6997, 9.70375, -5.74179;
42463, -13.7399, 14.2349, 4.47876;
42478, -18.0272, -17.9603, 8.7094;
42494, 1.17771, -11.536, 12.3672;
42494, 2.42649, 13.2625, -4.81282;
42510, 0.885059, 4.51595, 2.93846;
42525, 11.3663, -19.8884, -9.38329;
42541, 2.6753, -5.16179, 14.5559;
42556, -7.33248, 31.7818, -16.247;
