405, -0.000794, 0.094007, 0.255740, 0.899314, -0.142506, -0.408692, -0.062424, 0, 0, , 0.000000;
405, -0.000861, 0.094107, 0.255683, 0.899358, -0.142897, -0.408464, -0.062393, 0, 0, , 0.000000;
421, -0.000923, 0.094197, 0.255827, 0.899505, -0.144118, -0.407898, -0.061149, 0, 0, , 0.000000;
421, -0.000977, 0.094211, 0.255634, 0.899736, -0.143462, -0.407608, -0.061230, 0, 0, , 0.000000;
437, -0.001053, 0.094292, 0.255509, 0.899883, -0.142999, -0.407459, -0.061147, 0, 0, , 0.000000;
452, -0.001347, 0.094407, 0.255635, 0.899683, -0.146102, -0.406925, -0.060307, 0, 0, , 0.000000;
452, -0.001529, 0.094411, 0.255620, 0.899556, -0.147422, -0.406812, -0.059742, 0, 0, , 0.000000;
468, -0.001757, 0.094635, 0.255590, 0.899293, -0.149329, -0.406666, -0.059968, 0, 0, , 0.000000;
483, -0.001838, 0.094609, 0.255514, 0.899329, -0.149634, -0.406526, -0.059608, 0, 0, , 0.000000;
483, -0.001834, 0.094675, 0.255395, 0.899456, -0.149044, -0.406458, -0.059639, 0, 0, , 0.000000;
499, -0.001782, 0.094701, 0.255001, 0.899670, -0.146718, -0.406671, -0.060713, 0, 0, , 0.000000;
499, -0.001894, 0.094747, 0.254960, 0.899518, -0.147403, -0.406869, -0.059974, 0, 0, , 0.000000;
499, -0.001950, 0.094751, 0.254910, 0.899572, -0.147597, -0.406723, -0.059683, 0, 0, , 0.000000;
515, -0.001914, 0.094708, 0.254505, 0.899737, -0.145335, -0.407008, -0.060794, 0, 0, , 0.000000;
515, -0.001980, 0.094756, 0.254419, 0.899666, -0.145270, -0.407174, -0.060888, 0, 0, , 0.000000;
530, -0.001929, 0.094751, 0.254537, 0.899929, -0.145503, -0.406690, -0.059663, 0, 0, , 0.000000;
546, -0.001929, 0.094742, 0.254422, 0.900063, -0.145072, -0.406546, -0.059673, 0, 0, , 0.000000;
546, -0.002109, 0.094880, 0.254615, 0.899832, -0.147628, -0.406217, -0.059130, 0, 0, , 0.000000;
546, -0.002156, 0.094787, 0.254651, 0.899971, -0.148459, -0.405745, -0.058162, 0, 0, , 0.000000;
577, -0.002213, 0.094712, 0.254384, 0.900016, -0.148134, -0.405679, -0.058753, 0, 0, , 0.000000;
577, -0.002149, 0.094692, 0.253930, 0.900203, -0.145919, -0.405831, -0.060356, 0, 0, , 0.000000;
593, -0.002150, 0.094704, 0.253703, 0.900289, -0.145023, -0.405891, -0.060834, 0, 0, , 0.000000;
593, -0.002247, 0.094717, 0.253701, 0.900190, -0.145913, -0.405875, -0.060269, 0, 0, , 0.000000;
608, -0.002320, 0.094817, 0.253794, 0.900064, -0.146996, -0.405847, -0.059715, 0, 0, , 0.000000;
608, -0.002253, 0.094795, 0.253483, 0.900220, -0.145253, -0.406034, -0.060349, 0, 0, , 0.000000;
608, -0.002185, 0.094771, 0.253341, 0.900399, -0.144353, -0.405984, -0.060173, 0, 0, , 0.000000;
